id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1797604320709677326,"रेल यात्रा के दौरान सहायता के लिए #RailMadad ऐप का उपयोग करें।

डाउनलोड करें

iOS: https://t.co/DPsosAkvHC

Playstore: https://t.co/AGIFHWeaLg https://t.co/moDhbwpLY3",https://x.com/RailMinIndia/status/1797604320709677326,tweet,Ministry of Railways,@RailMinIndia,21,0,48,123,12951,1,2024-06-03 17:50:42,https://pbs.twimg.com/media/GPJfl4eXMAE41IC.jpg,
1797528091071574479,"Gaze into the beauty of the majestic hills surrounding Khongsang Railway Station in Manipur, under the shade of billowing clouds that stretch far and wide. https://t.co/PFWITUfpfG",https://x.com/RailMinIndia/status/1797528091071574479,tweet,Ministry of Railways,@RailMinIndia,11,1,124,256,20164,1,2024-06-03 12:47:48,https://pbs.twimg.com/media/GPIaREgXQAAIPA6.jpg,
1797320716917825825,Be a #ResponsibleRailYatri and don’t fall into the trap of purchasing tickets from unauthorised sellers. https://t.co/7eoUwnRAK7,https://x.com/RailMinIndia/status/1797320716917825825,tweet,Ministry of Railways,@RailMinIndia,33,0,228,355,39643,1,2024-06-02 23:03:46,https://pbs.twimg.com/media/GPFdqI_WsAAOSjh.jpg,
1797319983485026391,"@umashankarsingh क्या आप को पता है -
New Delhi Rly स्टेशन पर पिक अप &amp; ड्रॉप लेन में पॉर्किंग नहीं किया जाता,जाम लग जाता है। 
Pickup &amp; Drop 8 minute तक निसुल्क है।
लोग कम देर रुकें,जाम ना हो इसलिये डेटेर्रेंट के रूप में चार्जिंग की जाती है। 
अगर पार्किंग करनी हो तो अलग से पार्किंग की व्यवस्था है । https://t.co/cYepG2sclx",https://x.com/RailMinIndia/status/1797319983485026391,retweet,DRM Delhi NR,@drm_dli,0,0,96,0,-,0,2024-06-02 23:00:51,,
1797141608359763981,"Eclipsed by the enormity of a hill in the background, a train marches on near Shokhuvi Railway station in Nagaland. https://t.co/d8xQYvvWd5",https://x.com/RailMinIndia/status/1797141608359763981,tweet,Ministry of Railways,@RailMinIndia,32,0,259,495,39254,3,2024-06-02 11:12:03,https://pbs.twimg.com/media/GPC6wo6WIAAen-6.jpg,
1796911528966488480,Glimpses of a train as it traces the green-scapes of the enchanting Shiradi Ghat in Karnataka. 🛤️ https://t.co/yYSeKuCR3a,https://x.com/RailMinIndia/status/1796911528966488480,tweet,Ministry of Railways,@RailMinIndia,25,1,269,589,44679,10,2024-06-01 19:57:48,https://pbs.twimg.com/amplify_video_thumb/1796911436142383104/img/digL4cSwJRUohaRk.jpg,https://video.twimg.com/amplify_video/1796911436142383104/vid/avc1/720x1280/Tta_wDm2XFrNRhg9.mp4?tag=14
1796834661248938489,"#RailMadad, the go-to helping hand that Railway passengers need.

Download

Play Store: https://t.co/IVQPvVV5v9

iOS:https://t.co/DPsosAkvHC https://t.co/lsVrseO3Uk",https://x.com/RailMinIndia/status/1796834661248938489,tweet,Ministry of Railways,@RailMinIndia,26,3,241,294,37115,4,2024-06-01 14:52:21,https://pbs.twimg.com/media/GO-jmMGaoAEBIjp.jpg,
1796788185525264622,"Strolling away with trees fringed on either side, Antagarh-Taroki Rail Line diffuses into the horizon. 
📍Chhattisgarh https://t.co/MldqGdOgh4",https://x.com/RailMinIndia/status/1796788185525264622,tweet,Ministry of Railways,@RailMinIndia,39,3,247,746,61803,12,2024-06-01 11:47:40,https://pbs.twimg.com/media/GO95UuPXwAEowrY.jpg,
1796552250170749314,"Close taps when not in use on Railway premises and contribute to saving water. 

#MissionLiFE #ChooseLiFE https://t.co/kEbeuadp1d",https://x.com/RailMinIndia/status/1796552250170749314,tweet,Ministry of Railways,@RailMinIndia,60,5,258,516,49650,9,2024-05-31 20:10:09,https://pbs.twimg.com/media/GO6iuQOacAA1AGB.jpg,
1796480645994328237,Ensure a peaceful and pleasant journey for all and be a #ResponsibleRailYatri by using headphones and avoiding loud music while travelling. https://t.co/04tIWS0wOB,https://x.com/RailMinIndia/status/1796480645994328237,tweet,Ministry of Railways,@RailMinIndia,23,0,264,434,39256,7,2024-05-31 15:25:37,https://pbs.twimg.com/media/GO5hjpVWQAAkDUy.jpg,
